tubeID,lastStation,leftStation,nextStation,nextStationDistance
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,
4,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

2,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

5,Thymio,False,Thymio,
2,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

2,Thymio,False,Thymio,
5,Thymio,False,Thymio,

